ID,LATITUDE,LONGITUDE,DATE,CONFIDENCE,TrCovYearL,SurfClass,Polnota,PRCP,TAVG,TMAX,TMIN,MONTH
111,58.343,47.083,2007-05-16,61,0.0,150.0,1.0,0.04,71.0,84.0,60.0,05
112,58.475,47.038000000000004,2007-08-15,72,0.0,50.0,1.0,0.0,42.0,51.0,33.0,08
113,58.472,47.056000000000004,2007-08-15,69,0.0,50.0,5.0,0.0,36.0,47.0,27.0,08
114,58.708,47.196000000000005,2007-10-01,34,0.0,50.0,1.0,0.08,50.0,66.0,37.0,10
115,58.325,47.129,2008-04-27,75,0.0,150.0,1.0,0.0,57.0,66.0,44.0,04
116,58.328,47.131,2009-05-04,36,0.0,150.0,4.0,0.0,67.0,83.0,53.0,05
117,58.473,47.04,2009-05-31,73,0.0,50.0,1.0,0.0,53.0,67.0,42.0,05
118,58.474,47.051,2009-09-07,56,0.0,50.0,1.0,0.0,53.0,67.0,42.0,09
119,58.477,47.06,2010-05-23,54,0.0,50.0,1.0,0.0,53.0,67.0,42.0,05
120,58.475,47.052,2010-05-23,60,0.0,50.0,1.0,0.0,56.0,72.0,47.0,05
121,58.475,47.041000000000004,2010-05-23,80,0.0,50.0,1.0,0.0,56.0,72.0,47.0,05
122,58.471000000000004,47.047,2011-05-23,62,0.0,50.0,1.0,0.0,55.0,69.0,38.0,05
123,58.477,47.034,2011-05-23,84,0.0,120.0,1.0,0.0,55.0,69.0,38.0,05
124,58.476000000000006,47.06,2011-05-24,90,0.0,50.0,1.0,0.0,55.0,69.0,38.0,05
125,58.455,47.001000000000005,2011-05-24,67,0.0,150.0,1.0,0.0,63.0,77.0,49.0,05
126,58.47,47.025,2011-05-24,68,0.0,50.0,4.0,0.0,56.0,70.0,40.0,05
129,59.388000000000005,47.148999999999994,2013-07-14,100,14.0,90.0,5.0,0.0,51.0,64.0,35.0,07
130,59.371,47.13,2013-07-15,40,0.0,100.0,5.0,0.0,65.0,77.0,49.0,07
131,58.711999999999996,47.185,2018-04-24,27,0.0,50.0,1.0,0.0,56.0,69.0,42.0,04
132,58.053000000000004,47.034,2004-05-04,23,0.0,150.0,1.0,0.03,57.0,70.0,45.0,05
133,56.99,47.123000000000005,2001-04-29,84,0.0,14.0,1.0,0.03,57.0,70.0,45.0,04
134,56.81100000000001,47.159,2002-05-02,50,0.0,30.0,5.0,0.0,57.0,67.0,44.0,05
135,56.958,46.828,2002-05-03,74,0.0,30.0,1.0,0.0,43.0,57.0,28.0,05
136,56.983999999999995,46.801,2002-05-03,70,0.0,20.0,1.0,0.0,51.0,65.0,38.0,05
137,56.968,46.9,2002-06-02,71,0.0,14.0,1.0,0.0,47.0,58.0,32.0,06
138,56.966,46.967,2003-04-21,76,0.0,14.0,1.0,0.0,52.0,60.0,44.0,04
139,57.083999999999996,47.196000000000005,2003-04-22,77,0.0,30.0,1.0,0.0,62.0,73.0,50.0,04
140,57.007,47.225,2003-05-06,58,0.0,14.0,5.0,0.0,62.0,73.0,50.0,05
141,56.952,46.88399999999999,2004-05-03,87,0.0,20.0,3.0,0.0,43.0,55.0,29.0,05
142,56.967,46.883,2004-05-09,60,0.0,14.0,1.0,0.0,46.0,58.0,35.0,05
143,56.998999999999995,46.967,2004-05-09,53,0.0,20.0,1.0,0.0,46.0,59.0,33.0,05
144,56.933,47.06100000000001,2005-04-28,53,0.0,30.0,5.0,0.16,56.0,66.0,46.0,04
145,57.004,46.945,2005-04-30,59,0.0,20.0,1.0,0.0,35.0,44.0,26.0,04
146,57.08,47.177,2005-05-05,61,0.0,50.0,2.0,0.0,35.0,44.0,26.0,05
147,57.07,47.208,2005-05-16,74,0.0,20.0,1.0,0.0,41.0,53.0,27.0,05
148,56.975,46.92100000000001,2006-04-29,62,0.0,20.0,2.0,0.0,41.0,53.0,27.0,04
149,56.903,47.143,2006-04-29,63,0.0,20.0,1.0,0.0,41.0,53.0,27.0,04
150,56.968,46.893,2006-04-30,40,0.0,20.0,1.0,0.0,41.0,53.0,27.0,04
151,56.979,46.903,2006-04-30,23,0.0,30.0,1.0,0.0,41.0,53.0,27.0,04
152,56.96,46.923,2006-04-30,67,0.0,20.0,1.0,0.0,41.0,53.0,27.0,04
153,56.957,46.907,2006-04-30,63,0.0,20.0,1.0,0.0,45.0,59.0,26.0,04
154,56.961000000000006,46.928999999999995,2006-04-30,40,0.0,20.0,1.0,0.0,45.0,59.0,26.0,04
155,56.971000000000004,46.891999999999996,2006-04-30,67,0.0,20.0,1.0,0.0,45.0,59.0,26.0,04
156,56.995,46.942,2006-05-01,68,0.0,14.0,1.0,0.0,47.0,63.0,27.0,05
157,56.925,47.145,2006-05-01,20,0.0,20.0,1.0,0.0,47.0,63.0,27.0,05
158,56.928000000000004,47.147,2006-05-01,25,0.0,14.0,1.0,0.0,47.0,63.0,27.0,05
159,56.938,47.191,2006-05-02,49,0.0,14.0,1.0,0.0,47.0,63.0,27.0,05
160,56.938,47.18600000000001,2006-05-02,59,0.0,20.0,1.0,0.0,47.0,63.0,27.0,05
161,56.923,47.141999999999996,2006-05-02,84,0.0,20.0,1.0,0.0,47.0,63.0,27.0,05
162,56.924,47.192,2006-05-02,73,0.0,20.0,1.0,0.0,50.0,64.0,31.0,05
163,56.922,47.188,2006-05-02,70,0.0,20.0,1.0,0.0,50.0,64.0,31.0,05
164,56.92100000000001,47.137,2006-05-02,82,0.0,20.0,2.0,0.0,36.0,55.0,25.0,05
165,56.961000000000006,46.93600000000001,2006-05-03,61,0.0,30.0,3.0,0.0,40.0,54.0,26.0,05
166,56.968,46.926,2006-05-03,84,0.0,30.0,1.0,0.0,40.0,54.0,26.0,05
167,57.023,46.957,2008-04-04,61,0.0,14.0,1.0,0.0,47.0,60.0,34.0,04
168,56.942,46.835,2009-04-14,27,0.0,20.0,1.0,0.0,47.0,60.0,34.0,04
169,56.943999999999996,46.855,2009-04-14,59,0.0,20.0,3.0,0.0,47.0,60.0,34.0,04
170,56.935,47.163000000000004,2009-04-15,54,0.0,30.0,1.0,0.0,52.0,62.0,42.0,04
171,56.924,47.113,2009-04-15,74,0.0,20.0,1.0,0.0,52.0,62.0,42.0,04
172,56.934,47.105,2009-04-15,60,0.0,14.0,1.0,0.0,52.0,62.0,42.0,04
173,56.993,46.964,2009-04-27,55,0.0,14.0,1.0,0.0,52.0,62.0,42.0,04
174,57.065,47.203,2009-04-27,54,0.0,20.0,1.0,0.0,52.0,62.0,42.0,04
175,57.048,47.23,2009-04-27,76,0.0,50.0,1.0,0.0,54.0,69.0,38.0,04
176,56.997,46.953,2009-04-27,66,0.0,14.0,1.0,0.0,54.0,69.0,38.0,04
177,57.06100000000001,47.224,2009-04-27,78,0.0,20.0,1.0,0.0,54.0,69.0,38.0,04
178,56.965,46.818999999999996,2009-05-05,67,0.0,14.0,1.0,0.0,59.0,71.0,44.0,05
179,56.964,46.793,2009-05-05,55,0.0,20.0,1.0,0.0,59.0,71.0,44.0,05
180,56.964,46.806000000000004,2009-05-05,72,0.0,20.0,1.0,0.0,59.0,71.0,44.0,05
181,56.958999999999996,46.792,2009-05-09,56,0.0,20.0,1.0,0.0,59.0,71.0,44.0,05
182,56.97,46.778,2009-05-09,44,0.0,14.0,1.0,0.0,56.0,69.0,40.0,05
183,56.957,46.794,2009-05-09,44,0.0,20.0,1.0,0.0,56.0,69.0,40.0,05
184,56.958,46.791000000000004,2009-05-09,83,0.0,20.0,1.0,0.0,56.0,69.0,40.0,05
185,57.012,46.965,2009-05-10,80,0.0,20.0,1.0,0.13,60.0,70.0,56.0,05
186,57.011,46.938,2009-05-10,81,0.0,14.0,1.0,0.0,63.0,80.0,50.0,05
187,57.007,46.93,2009-05-10,58,0.0,20.0,1.0,0.0,35.0,42.0,29.0,05
188,56.933,46.917,2009-08-11,18,0.0,20.0,1.0,0.0,35.0,44.0,29.0,08
189,56.995,47.108000000000004,2009-09-04,66,0.0,20.0,1.0,0.0,35.0,44.0,29.0,09
190,57.008,46.861999999999995,2009-10-11,42,0.0,20.0,5.0,0.06,33.0,43.0,22.0,10
191,56.919,47.167,2010-04-12,31,0.0,20.0,1.0,0.0,43.0,57.0,31.0,04
192,56.917,47.151,2010-04-12,98,0.0,20.0,1.0,0.0,47.0,56.0,41.0,04
193,56.926,46.824,2010-04-14,64,0.0,50.0,5.0,0.0,47.0,56.0,41.0,04
194,56.957,46.898,2010-04-17,70,0.0,30.0,2.0,0.0,47.0,56.0,41.0,04
195,56.952,46.903999999999996,2010-04-19,91,0.0,20.0,1.0,0.0,47.0,56.0,41.0,04
196,56.95,46.922,2010-04-19,100,0.0,20.0,1.0,0.0,47.0,56.0,41.0,04
197,56.963,46.906000000000006,2010-04-19,72,0.0,30.0,1.0,0.0,47.0,56.0,41.0,04
198,56.963,46.898,2010-04-19,63,0.0,20.0,5.0,0.0,47.0,56.0,41.0,04
199,56.942,46.96,2010-04-19,83,0.0,50.0,5.0,0.0,47.0,56.0,41.0,04
200,56.948,46.917,2010-04-19,17,0.0,20.0,1.0,0.0,58.0,73.0,44.0,04
201,56.93899999999999,46.92100000000001,2010-04-19,53,0.0,20.0,1.0,0.0,58.0,73.0,44.0,04
202,56.952,46.951,2010-04-19,94,0.0,14.0,1.0,0.0,62.0,78.0,47.0,04
203,56.968999999999994,47.226000000000006,2010-04-22,55,0.0,14.0,1.0,0.0,62.0,78.0,47.0,04
204,57.011,47.073,2010-04-22,65,0.0,50.0,5.0,0.0,54.0,66.0,35.0,04
205,56.971000000000004,46.897,2010-05-09,75,0.0,20.0,1.0,0.0,56.0,67.0,45.0,05
206,56.968999999999994,46.928000000000004,2010-05-09,74,0.0,20.0,1.0,0.0,35.0,44.0,26.0,05
207,60.356,47.088,2002-06-08,24,0.0,150.0,1.0,0.0,45.0,59.0,26.0,06
208,60.471000000000004,46.931999999999995,2003-05-13,74,0.0,150.0,1.0,0.02,74.0,87.0,66.0,05
209,60.205,46.565,2006-04-29,68,0.0,110.0,1.0,0.02,74.0,87.0,66.0,04
210,60.65,47.20399999999999,2006-05-01,48,0.0,120.0,1.0,0.33,64.0,75.0,55.0,05
211,60.61600000000001,47.251999999999995,2006-06-25,64,0.0,150.0,3.0,0.0,60.0,74.0,42.0,06
212,60.615,47.243,2006-06-25,58,0.0,100.0,4.0,0.0,72.0,87.0,58.0,06
213,60.19,46.673,2007-05-17,49,0.0,50.0,5.0,0.0,49.0,63.0,37.0,05
214,60.244,47.097,2008-05-12,71,0.0,150.0,3.0,0.0,61.0,69.0,51.0,05
215,60.354,47.052,2009-07-28,55,0.0,180.0,3.0,0.0,49.0,64.0,34.0,07
216,60.357,47.06399999999999,2011-04-27,55,0.0,150.0,1.0,0.0,50.0,64.0,31.0,04
217,60.45399999999999,46.911,2011-05-05,67,0.0,150.0,1.0,0.0,65.0,78.0,58.0,05
218,60.13399999999999,46.448,2013-05-03,54,0.0,150.0,1.0,0.0,65.0,78.0,58.0,05
219,59.20399999999999,47.744,2006-05-03,91,0.0,150.0,1.0,0.0,65.0,78.0,58.0,05
220,60.285,47.727,2007-05-23,87,0.0,150.0,5.0,0.0,56.0,69.0,40.0,05
221,60.288999999999994,47.736999999999995,2007-05-23,88,0.0,120.0,4.0,0.0,62.0,77.0,43.0,05
222,60.285,47.716,2007-05-23,64,0.0,110.0,5.0,0.0,65.0,77.0,49.0,05
223,58.26,47.715,2009-05-10,68,0.0,50.0,4.0,0.0,44.0,52.0,35.0,05
224,59.466,47.776,2018-04-28,48,0.0,180.0,1.0,0.07,66.0,74.0,59.0,04
225,57.405,46.995,2001-04-26,65,0.0,20.0,1.0,0.07,66.0,74.0,59.0,04
226,57.28,47.161,2001-04-29,55,0.0,20.0,1.0,0.04,63.0,71.0,54.0,04
227,57.162,47.193999999999996,2001-05-08,60,0.0,20.0,4.0,0.0,40.0,51.0,36.0,05
228,57.308,47.092,2001-08-14,13,0.0,20.0,1.0,0.0,43.0,57.0,28.0,08
229,57.306000000000004,47.108000000000004,2001-08-14,82,0.0,50.0,1.0,0.0,53.0,64.0,43.0,08
230,57.31100000000001,47.13399999999999,2001-08-15,67,0.0,14.0,1.0,0.0,65.0,77.0,49.0,08
231,57.347,47.075,2002-05-29,38,0.0,30.0,1.0,0.0,65.0,77.0,49.0,05
232,57.132,47.146,2003-04-21,73,0.0,20.0,5.0,0.0,49.0,59.0,42.0,04
233,57.117,47.192,2003-04-23,79,0.0,14.0,1.0,0.0,52.0,60.0,44.0,04
234,57.318999999999996,47.184,2003-07-22,82,0.0,20.0,1.0,0.0,52.0,60.0,44.0,07
235,57.312,47.174,2003-07-22,58,0.0,20.0,1.0,0.0,52.0,60.0,44.0,07
236,57.247,47.105,2004-05-01,34,0.0,20.0,1.0,0.0,52.0,60.0,44.0,05
237,57.371,47.251999999999995,2004-05-03,65,0.0,50.0,4.0,0.0,49.0,61.0,32.0,05
238,57.243,47.098,2004-05-03,62,0.0,30.0,1.0,0.0,49.0,61.0,32.0,05
239,57.236999999999995,47.071999999999996,2004-05-03,63,0.0,20.0,1.0,0.0,62.0,73.0,50.0,05
240,57.305,47.041000000000004,2004-05-03,43,0.0,50.0,1.0,0.0,62.0,70.0,51.0,05
241,57.17100000000001,46.96,2004-05-06,76,0.0,20.0,1.0,0.0,43.0,55.0,29.0,05
242,57.168,46.943999999999996,2004-05-06,38,0.0,30.0,4.0,0.0,43.0,55.0,29.0,05
243,57.427,46.836000000000006,2004-05-09,69,0.0,20.0,1.0,0.0,53.0,64.0,44.0,05
244,57.233000000000004,47.215,2004-05-29,21,0.0,20.0,1.0,0.0,62.0,73.0,52.0,05
245,57.151,47.11600000000001,2005-04-28,85,0.0,20.0,5.0,0.0,62.0,73.0,52.0,04
246,57.155,47.091,2005-04-28,54,0.0,20.0,1.0,0.0,34.0,42.0,26.0,04
247,57.242,47.121,2005-05-06,91,0.0,30.0,1.0,0.0,41.0,53.0,27.0,05
248,57.236000000000004,47.082,2005-05-11,85,0.0,20.0,1.0,0.0,47.0,63.0,27.0,05
249,57.24,47.099,2005-05-11,81,0.0,14.0,1.0,0.0,67.0,79.0,58.0,05
250,57.113,47.021,2006-04-28,89,0.0,20.0,1.0,0.0,52.0,62.0,42.0,04
251,57.285,47.258,2006-04-30,48,0.0,20.0,1.0,0.0,52.0,62.0,42.0,04
252,57.403999999999996,46.861000000000004,2006-05-02,65,0.0,14.0,1.0,0.0,52.0,62.0,42.0,05
253,57.193999999999996,47.097,2007-08-10,28,0.0,14.0,1.0,0.0,43.0,54.0,31.0,08
254,57.218,47.066,2009-04-27,74,0.0,20.0,1.0,0.0,44.0,60.0,33.0,04
255,57.231,47.07899999999999,2009-04-27,29,0.0,14.0,1.0,0.0,44.0,60.0,33.0,04
256,57.224,47.066,2009-04-27,49,0.0,20.0,1.0,0.0,58.0,71.0,51.0,04
257,57.321000000000005,47.228,2009-05-03,86,0.0,20.0,1.0,0.0,58.0,71.0,51.0,05
258,57.123000000000005,46.903999999999996,2009-05-20,63,0.0,20.0,1.0,0.0,63.0,80.0,50.0,05
259,57.114,46.908,2009-05-20,56,0.0,20.0,1.0,0.0,63.0,80.0,50.0,05
260,57.303000000000004,47.102,2009-09-02,56,0.0,100.0,1.0,0.0,63.0,80.0,50.0,09
261,57.306000000000004,47.089,2009-09-02,59,0.0,20.0,1.0,0.0,52.0,64.0,42.0,09
262,57.293,47.104,2009-09-04,65,0.0,100.0,5.0,0.0,43.0,57.0,31.0,09
263,57.303000000000004,47.1,2009-09-04,100,0.0,100.0,1.0,0.0,43.0,57.0,31.0,09
264,57.299,47.081,2009-09-04,85,0.0,50.0,5.0,0.0,43.0,57.0,31.0,09
265,57.315,46.985,2009-09-17,66,0.0,20.0,4.0,0.0,43.0,57.0,31.0,09
266,57.122,46.918,2010-04-17,75,0.0,20.0,4.0,0.0,70.0,81.0,54.0,04
267,57.128,46.938,2010-04-17,82,0.0,30.0,4.0,0.0,82.0,96.0,68.0,04
268,57.131,46.922,2010-04-17,85,0.0,20.0,3.0,0.0,64.0,74.0,55.0,04
269,57.122,46.916000000000004,2010-04-17,83,0.0,20.0,1.0,0.0,60.0,71.0,52.0,04
270,57.118,46.926,2010-05-11,45,0.0,20.0,1.0,0.0,44.0,49.0,40.0,05
271,57.232,47.242,2010-08-10,100,10.0,100.0,5.0,0.0,52.0,60.0,44.0,08
272,57.45,47.251999999999995,2014-05-23,73,3.0,120.0,5.0,0.0,52.0,60.0,44.0,05
